ST	ASP	GLN	GLT	GLY	PGM	TKT	UNC	group
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
66	2	4	5	2	7	1	5	0
61	1	4	2	2	6	3	17	0
48	2	4	1	2	7	1	5	0
3075	33	4	1	2	7	1	5	0
257	9	2	4	62	4	5	6	0
1374	24	2	5	72	2	5	6	0
2962	2	55	5	10	102	87	8	0
403	10	27	16	19	10	5	7	0
21	2	1	1	3	2	1	5	0
63	9	17	2	10	22	3	6	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
658	2	4	2	4	19	3	6	0
443	24	17	2	15	23	3	12	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
61	1	4	2	2	6	3	17	0
205	2	4	1	2	7	51	5	0
48	2	4	1	2	7	1	5	0
658	2	4	2	4	19	3	6	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
1935	55	4	21	49	125	83	51	0
61	1	4	2	2	6	3	17	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
86	2	1	12	2	2	1	5	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
48	2	4	1	2	7	1	5	0
52	9	25	2	10	22	3	6	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
61	1	4	2	2	6	3	17	0
48	2	4	1	2	7	1	5	0
2266	10	4	16	19	10	5	7	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
449	7	71	5	62	11	67	6	0
53	2	1	21	3	2	1	5	0
257	9	2	4	62	4	5	6	0
354	8	10	2	2	11	12	6	0
61	1	4	2	2	6	3	17	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
206	2	21	5	37	2	1	5	0
48	2	4	1	2	7	1	5	0
2035	7	17	2	15	4	3	12	0
48	2	4	1	2	7	1	5	0
50	2	1	12	3	2	1	5	0
50	2	1	12	3	2	1	5	0
1461	2	7	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
48	2	4	1	2	7	1	5	0
1867	2	1	12	4	2	7	1	0
257	9	2	4	62	4	5	6	0
48	2	4	1	2	7	1	5	0
206	2	21	5	37	2	1	5	0
50	2	1	12	3	2	1	5	0
50	2	1	12	3	2	1	5	0
1879	2	7	1	2	7	1	5	0
1874	2	4	5	37	2	1	5	0
1883	2	21	5	3	2	54	5	0
1853	1	1	42	3	3	54	5	0
53	2	1	21	3	2	1	5	0
759	1	1	6	4	3	3	3	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
22	1	3	6	4	3	3	3	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
